Question,OpenAI vs Gemini',OpenAI vs Gemini,OpenAI vs Gemini'
 ,contradiction,not contradiction,irrelevant
1,0,5,0
2,2,3,0
3,0,4,1
4,2,1,0
5,1,2,0
6,1,1,0
7,0,5,0
8,1,4,0
9,1,2,2
10,2,2,0
11,3,1,0
12,0,2,0
13,2,2,1
14,3,1,1
15,1,1,1
16,1,3,0
17,2,2,0
18,2,2,0
19,3,0,0
20,2,2,0
21,1,2,1
22,3,2,0
23,0,2,2
24,0,4,1
25,0,4,0
26,1,2,0
27,0,4,0
28,0,2,3
29,2,2,1
30,4,0,0
31,5,0,0
32,3,1,0
33,2,3,0
34,1,4,0
35,1,3,0
36,1,4,0
37,1,3,1
38,2,1,1
39,2,0,2
40,1,1,3
41,1,3,0
42,2,1,0
43,1,2,0
44,0,3,0
45,1,3,0
46,2,1,0
47,0,4,0
48,1,1,1
49,1,4,0
50,0,4,1
51,3,2,0
52,1,1,3
53,0,1,4
54,3,2,0
55,1,3,1
56,3,2,0
57,1,3,1
58,0,3,2
59,3,2,0
60,1,3,0
61,0,4,0
62,1,2,0
63,3,1,0
64,1,3,0
65,1,3,1
66,1,4,0
67,0,4,1
68,0,1,0
69,1,3,1
70,2,2,0
71,3,1,0
72,1,2,2
73,2,2,0
74,2,1,0
75,2,2,1
76,1,1,0
77,1,0,0
78,2,2,1
79,0,1,0
80,3,2,0
81,3,1,0
82,1,3,0
83,1,3,1
84,3,1,0
85,2,1,1
86,0,3,0
87,3,0,0
88,4,1,0
89,2,2,1
90,1,0,0
91,0,0,1
92,1,3,0
93,0,2,2
94,2,1,2
95,1,0,0
96,1,1,0
97,1,2,1
98,1,1,3
99,3,2,0
100,0,1,3
101,2,1,0
102,2,0,0
103,0,4,0
104,3,0,0
105,1,3,0
106,3,1,0
107,2,1,0
108,1,4,0
109,0,4,1
110,1,3,0
111,2,2,0
112,2,0,1
113,1,3,0
114,2,3,0
115,2,2,1
116,4,1,0
117,2,2,0
118,3,2,0
119,1,4,0
120,4,0,1
121,2,1,0
122,2,3,0
123,2,1,0
124,2,2,0
125,4,1,0
126,1,2,1
127,1,2,0
128,3,2,0
129,2,1,1
130,1,2,0
131,1,1,0
132,1,4,0
133,0,0,2
134,1,4,0
135,0,5,0
136,1,4,0
137,0,5,0
138,0,4,0
139,1,3,0
140,0,4,1
141,1,3,0
142,1,3,1
143,0,1,0
144,1,4,0
145,1,0,0
146,1,0,0
147,1,1,0
148,2,2,1
149,2,1,0
150,2,2,0
151,3,1,1
152,1,3,0
153,0,4,1
154,2,3,0
155,2,2,0
156,2,2,0
157,0,1,1
158,2,0,1
159,0,4,0
160,2,2,0
161,0,1,0
162,0,1,4
163,1,0,0
164,1,4,0
165,0,2,3
166,0,5,0
167,2,2,1
168,0,4,1
169,0,1,0
170,0,2,3
171,1,1,2
172,1,0,4
173,0,3,2
174,0,1,0
175,0,3,2
176,2,3,0
177,4,1,0
178,1,3,0
179,2,1,0
180,3,2,0
181,1,2,0
182,2,2,0
183,1,3,0
184,1,3,0
185,0,5,0
186,0,4,1
187,1,2,2
188,3,2,0
189,3,2,0
190,4,1,0
191,4,0,0
192,0,5,0
193,1,4,0
194,0,3,0
195,0,1,2
196,0,5,0
197,2,2,0
198,1,2,1
199,1,4,0
200,2,2,0
201,2,3,0
202,0,1,1
203,1,2,0
204,1,0,3
205,1,4,0
206,1,0,0
207,3,1,1
208,1,2,1
209,0,4,0
210,1,2,0
211,1,2,0
212,1,4,0
213,1,3,0
214,2,0,0
215,3,1,0
216,2,2,0
217,1,1,1
218,0,1,4
219,0,4,1
220,1,4,0
221,3,2,0
222,2,3,0
223,1,1,3
224,1,0,0
225,0,5,0
226,0,1,0
227,2,1,2
228,2,1,2
229,1,2,1
230,2,3,0
231,3,2,0
232,0,1,0
233,1,2,2
234,3,2,0
235,0,0,5
236,0,1,0
237,0,3,2
238,2,3,0
239,1,4,0
240,1,4,0
241,0,1,0
242,1,4,0
243,0,3,2
244,2,2,1
245,0,0,5
246,3,1,0
247,2,2,0
248,1,2,0
249,1,2,0
250,0,2,3
251,0,2,3
252,1,2,2
253,1,2,0
254,2,3,0
255,2,3,0
256,2,3,0
257,1,2,2
258,2,2,1
259,1,3,1
260,0,4,1
261,0,3,0
262,0,2,1
263,1,2,1
264,3,0,0
265,1,3,1
266,4,1,0
267,2,3,0
268,2,3,0
269,1,4,0
270,0,1,0
271,1,3,1
272,1,3,1
273,1,4,0
274,2,2,1
275,1,1,1
276,4,0,0
277,3,2,0
278,3,1,0
279,4,1,0
280,1,3,1
281,3,2,0
282,0,3,0
283,0,3,0
284,1,1,1
285,0,2,0
286,1,1,1
287,0,1,2
288,3,1,0
289,0,3,2
290,2,2,0
291,1,3,0
292,3,2,0
293,1,2,0
294,0,2,1
295,1,4,0
296,2,2,0
297,4,0,0
298,2,2,0
299,2,1,2
300,0,1,4
301,0,2,3
302,1,0,0
303,2,2,1
304,1,4,0
305,3,2,0
306,2,3,0
307,1,2,2
308,2,3,0
309,5,0,0
310,3,1,0
311,0,5,0
312,1,4,0
313,2,1,2
314,3,2,0
315,2,2,0
316,2,1,2
317,2,3,0
318,0,4,0
319,0,4,0
320,0,1,0
321,2,3,0
322,0,2,1
323,4,0,0
324,2,1,0
325,1,3,1
326,0,5,0
327,2,3,0
328,2,1,1
329,1,3,1
330,3,2,0
331,0,3,0
332,1,3,0
333,1,4,0
334,1,4,0
335,0,4,1
336,2,2,0
337,2,1,0
338,1,3,0
339,0,3,0
340,2,2,1
341,2,1,2
342,5,0,0
343,3,1,0
344,1,3,0
345,4,0,1
346,3,0,2
347,0,4,1
348,1,2,2
349,4,0,1
350,2,2,0
351,1,1,0
352,0,2,0
353,1,1,2
354,1,0,0
355,3,2,0
356,0,5,0
357,1,0,0
358,1,4,0
359,2,3,0
360,1,4,0
361,2,3,0
362,1,1,0
363,0,2,0
364,1,3,0
365,0,1,0
366,0,5,0
367,0,0,3
368,2,0,1
369,2,1,1
370,1,3,0
371,5,1,1
372,1,3,1
373,0,2,2
374,0,2,0
375,2,2,0
376,1,4,0
377,5,0,0
378,1,2,0
379,5,0,0
380,2,1,0
381,3,2,0
382,2,3,0
383,1,2,1
384,2,1,0
385,2,3,0
386,1,0,0
387,3,2,0
388,2,3,0
389,2,3,0
390,2,2,1
391,2,2,0
392,2,2,0
393,1,2,0
394,2,2,1
395,2,2,0
396,0,1,3
397,1,3,0
398,2,2,0
399,1,1,2
400,1,3,0
401,2,2,0
402,1,4,0
403,2,3,0
404,2,3,0
405,0,5,0
406,1,4,0
407,2,3,0
408,0,5,0
409,0,3,2
410,0,1,0
411,3,1,1
412,3,1,1
413,1,0,0
414,1,2,1
415,0,2,2
416,1,4,0
417,1,3,0
